timestamp,open,high,low,close,volume,year,day,returns,target,sma,ema,bbh,bbm,bbl,volatility,rsi,close_mom_7
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,2018,Sunday,-0.05,13539.93,14506.92,14370.08,16249.23,14506.92,12764.61,940.96,49.66,-0.17
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,2018,Monday,0.0,10900.0,14124.77,14146.31,15356.54,14124.77,12893.0,665.23,44.25,-0.17
2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.169175,2018,Tuesday,-0.19,10988.79,13930.11,13994.71,15032.6,13930.11,12827.63,595.41,44.83,-0.09
2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.796646,2018,Wednesday,0.01,10961.97,13430.11,13221.04,15740.08,13430.11,11120.15,1247.52,30.94,-0.24
2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.434937,2018,Thursday,-0.0,11474.98,12870.36,12662.97,15368.72,12870.36,10371.99,1349.27,31.71,-0.26
2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.375421,2018,Friday,0.05,12799.94,12545.1,12237.72,15341.92,12545.1,9748.28,1510.45,31.59,-0.17
2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.857827,2018,Saturday,0.12,11530.0,12221.52,12047.04,14912.59,12221.52,9530.45,1453.35,36.31,-0.16
2018-01-21,12799.8,12799.8,10965.0,11530.0,41379.773426,2018,Sunday,-0.1,10760.05,12020.09,12235.26,14258.68,12020.09,9781.49,1208.98,46.56,-0.1
2018-01-22,11530.0,11926.35,9900.24,10760.05,43752.606791,2018,Monday,-0.07,10799.18,11742.23,12058.95,13647.53,11742.23,9836.93,1028.98,39.93,-0.14
2018-01-23,10760.05,11399.0,9905.0,10799.18,37473.922552,2018,Tuesday,0.0,11349.99,11345.1,11734.22,12650.43,11345.1,10039.78,704.95,36.53,-0.21
2018-01-24,10799.14,11570.48,10500.0,11349.99,27158.587762,2018,Wednesday,0.05,11175.27,11330.7,11500.46,12657.4,11330.7,10004.0,716.5,36.83,-0.01
2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.954183,2018,Thursday,-0.02,11089.0,11382.3,11462.84,12679.56,11382.3,10085.04,700.6,40.97,0.03
2018-01-26,11184.7,11643.0,10311.15,11089.0,33056.87196,2018,Friday,-0.01,11491.0,11412.77,11390.95,12678.75,11412.77,10146.79,683.71,40.07,0.02
2018-01-27,11089.0,11650.0,10842.69,11491.0,18860.768345,2018,Saturday,0.04,11879.95,11357.63,11315.46,12641.47,11357.63,10073.8,693.35,39.61,-0.03
2018-01-28,11499.98,12244.0,11408.0,11879.95,16887.339524,2018,Sunday,0.03,11251.0,11170.64,11359.35,11744.94,11170.64,10596.34,310.16,42.92,-0.1
2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.377538,2018,Monday,-0.05,10237.51,11220.63,11489.5,11951.06,11220.63,10490.2,394.48,45.99,0.03
2018-01-30,11250.11,11308.42,9900.0,10237.51,25554.372946,2018,Tuesday,-0.09,10285.1,11290.77,11429.87,11917.79,11290.77,10663.75,338.63,42.05,0.05
2018-01-31,10230.0,10425.85,9700.0,10285.1,18015.956805,2018,Wednesday,0.0,9224.52,11210.53,11131.78,12139.63,11210.53,10281.43,501.77,36.59,-0.05
2018-02-01,10285.1,10335.0,8750.99,9224.52,33564.764311,2018,Thursday,-0.1,8873.03,11058.4,10920.11,12175.96,11058.4,9940.85,603.55,37.01,-0.09
2018-02-02,9224.52,9250.0,8010.02,8873.03,49971.626975,2018,Friday,-0.04,9199.96,10779.73,10496.21,12468.59,10779.73,9090.86,912.09,32.0,-0.17
2018-02-03,8873.03,9473.01,8229.0,9199.96,28725.000735,2018,Saturday,0.04,8184.81,10463.16,10090.42,12578.38,10463.16,8347.93,1142.35,30.53,-0.2
2018-02-04,9199.96,9368.0,7930.0,8184.81,32014.308449,2018,Sunday,-0.11,6939.99,10135.87,9867.8,12222.45,10135.87,8049.29,1126.88,33.59,-0.2
2018-02-05,8179.99,8382.8,6625.0,6939.99,63402.314482,2018,Monday,-0.15,7652.14,9607.99,9447.06,11525.34,9607.99,7690.64,1035.49,29.28,-0.31
2018-02-06,6939.63,7878.0,6000.01,7652.14,100201.500307,2018,Tuesday,0.1,7599.0,8992.13,8820.29,11156.41,8992.13,6827.85,1168.84,25.03,-0.38
2018-02-07,7655.02,8476.0,7150.01,7599.0,60777.684086,2018,Wednesday,-0.01,7784.02,8622.79,8528.25,10691.18,8622.79,6554.4,1117.06,31.18,-0.25
2018-02-08,7599.0,7844.0,7572.09,7784.02,1521.537318,2018,Thursday,0.02,8533.98,8239.06,8295.94,9885.02,8239.06,6593.11,888.92,30.98,-0.26
2018-02-10,8683.92,9065.78,8120.0,8533.98,49379.853135,2018,Saturday,0.1,8063.88,8033.28,8167.96,9483.51,8033.28,6583.04,783.22,32.63,-0.16
2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.187952,2018,Sunday,-0.06,8903.0,7984.84,8259.46,9339.13,7984.84,6630.56,731.4,39.01,-0.04
2018-02-12,8063.82,8989.0,8053.0,8903.0,41987.85049,2018,Monday,0.1,8539.9,7822.55,8210.57,8765.19,7822.55,6879.9,509.09,36.67,-0.12
2018-02-13,8903.0,8950.0,8351.0,8539.9,35454.972956,2018,Tuesday,-0.04,9449.99,7925.14,8383.68,9124.54,7925.14,6725.75,647.75,43.22,0.09
2018-02-14,8535.17,9489.6,8533.0,9449.99,40811.952867,2018,Wednesday,0.11,10000.09,8153.7,8422.73,9097.62,8153.7,7209.79,509.77,41.23,0.23
2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.596715,2018,Thursday,0.06,10159.98,8410.54,8679.55,9612.02,8410.54,7209.05,648.88,47.73,0.23
2018-02-16,10000.89,10323.37,9666.0,10159.98,38161.205974,2018,Friday,0.02,11039.55,8753.55,9009.68,10181.98,8753.55,7325.12,771.44,51.24,0.32
2018-02-17,10156.07,11075.07,10050.0,11039.55,41882.108407,2018,Saturday,0.09,10383.43,9092.97,9297.26,10567.0,9092.97,7618.95,796.06,52.24,0.31
2018-02-18,11039.55,11274.0,10080.0,10383.43,61137.380728,2018,Sunday,-0.06,11153.0,9450.91,9732.83,11360.61,9450.91,7541.22,1031.35,57.43,0.29
2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.417131,2018,Monday,0.07,11200.99,9782.28,9895.48,11396.37,9782.28,8168.18,871.71,52.82,0.29
2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.354288,2018,Tuesday,0.0,10437.6,10103.71,10209.86,11784.15,10103.71,8423.26,907.54,57.16,0.25
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754,2018,Wednesday,-0.07,9811.04,10483.86,10457.64,11723.38,10483.86,9244.34,669.42,57.43,0.31
2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.166483,2018,Thursday,-0.06,10131.04,10624.95,10452.63,11545.39,10624.95,9704.5,497.1,51.96,0.1
2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237,2018,Friday,0.03,9694.51,10597.94,10292.23,11597.81,10597.94,9598.08,539.99,47.92,-0.02
2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.156299,2018,Saturday,-0.04,9590.0,10593.81,10251.94,11601.09,10593.81,9586.52,544.0,50.06,-0.0
2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.517586,2018,Sunday,-0.01,10324.0,10401.66,10112.58,11504.17,10401.66,9299.14,595.43,47.22,-0.12
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756,2018,Monday,0.08,10569.04,10288.31,9981.93,11529.44,10288.31,9047.18,670.29,46.53,-0.08
2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.385123,2018,Tuesday,0.02,10326.76,10169.88,10067.45,11198.37,10169.88,9141.4,555.45,51.79,-0.07
2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.983782,2018,Wednesday,-0.02,10920.0,10079.6,10192.85,10792.83,10079.6,9366.37,385.19,53.44,-0.06
2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393,2018,Thursday,0.06,11039.0,10063.77,10226.33,10748.87,10063.77,9378.67,370.0,51.56,-0.01
2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009,2018,Friday,0.01,11464.48,10222.19,10399.74,11089.03,10222.19,9355.36,468.15,55.67,0.11
2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328,2018,Saturday,0.04,11515.0,10351.9,10559.56,11381.76,10351.9,9322.05,556.19,56.46,0.09
2018-03-04,11464.47,11565.0,11050.02,11515.0,17122.482572,2018,Sunday,0.0,11454.0,10604.75,10785.79,11729.59,10604.75,9479.92,607.48,59.28,0.18
2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.231063,2018,Monday,-0.01,10716.48,10879.75,10968.09,11800.51,10879.75,9959.0,497.26,59.61,0.2
2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.572363,2018,Tuesday,-0.06,9910.0,11041.18,11089.57,11910.37,11041.18,10171.99,469.42,58.98,0.11
2018-03-07,10716.48,10899.0,9389.31,9910.0,50647.67108,2018,Wednesday,-0.08,9271.64,11062.25,10996.3,11890.85,11062.25,10233.64,447.5,51.86,0.01
2018-03-08,9910.0,10099.0,9060.0,9271.64,41109.473226,2018,Thursday,-0.06,9227.0,11002.71,10724.72,12061.94,11002.71,9943.48,572.05,45.4,-0.04
2018-03-09,9267.07,9410.0,8329.0,9227.0,64112.291407,2018,Friday,-0.0,8770.22,10767.23,10361.45,12382.34,10767.23,9152.11,872.26,41.04,-0.15
2018-03-10,9230.0,9490.0,8667.07,8770.22,37180.012857,2018,Saturday,-0.05,9533.57,10508.37,10077.84,12419.91,10508.37,8596.84,1032.35,40.74,-0.16
2018-03-11,8770.22,9740.0,8450.0,9533.57,44325.973386,2018,Sunday,0.09,9131.34,10123.48,9750.93,12188.76,10123.48,8058.19,1115.38,37.76,-0.24
2018-03-12,9533.57,9888.88,8780.0,9131.34,42230.347513,2018,Monday,-0.04,9150.0,9840.42,9696.59,11583.2,9840.42,8097.64,941.21,45.01,-0.17
2018-03-13,9131.34,9474.0,8823.0,9150.0,40191.409358,2018,Tuesday,0.0,8170.0,9508.61,9555.28,10690.3,9508.61,8326.91,638.19,42.22,-0.2
