timestamp,open,high,low,close,volume
2024-01-01,42283.58,44188.28,42180.81,44179.54,26548.607612
2024-01-02,44181.4,45996.2,44148.34,44955.9,66341.093598
2024-01-03,44955.9,45512.52,39925.4,42845.22,101430.926277
2024-01-04,42845.23,44891.91,42393.3,44149.75,55234.612056
2024-01-05,44140.67,44312.4,42000.0,44145.11,56331.098557
2024-01-06,44145.12,44225.4,43394.47,43969.22,21409.740081
2024-01-07,43968.32,44484.85,43570.4,43928.9,29009.960671
2024-01-08,43929.9,47249.99,43168.5,46951.04,87412.250172
2024-01-09,46951.03,47986.0,44987.11,46111.04,85467.401375
2024-01-10,46109.3,47694.5,44294.3,46649.95,105807.166694
2024-01-11,46653.96,48983.04,45579.3,46338.9,77865.526255
2024-01-12,46338.75,46510.06,41404.7,42782.73,80398.422151
2024-01-13,42783.04,43256.59,42435.94,42847.98,28341.725996
2024-01-14,42847.98,43084.7,41720.24,41732.36,24097.348071
2024-01-15,41732.35,43432.96,41716.45,42511.11,38613.718524
2024-01-16,42511.1,43581.44,42055.68,43137.94,38149.966649
2024-01-17,43137.95,43198.0,42203.0,42776.1,26477.769531
2024-01-18,42776.09,42924.73,40678.4,41327.51,41259.738081
2024-01-19,41326.0,42192.82,40266.25,41659.04,45242.886652
2024-01-20,41659.04,41877.8,41427.2,41693.8,15586.170587
2024-01-21,41693.8,41886.4,41499.11,41580.3,11164.593105
2024-01-22,41579.11,41691.2,39405.2,39571.09,53360.104859
2024-01-23,39571.1,40180.0,38551.2,39897.59,49165.328726
2024-01-24,39897.59,40559.0,39495.68,40084.89,39314.285684
2024-01-25,40084.89,40309.4,39548.0,39961.09,30683.500859
2024-01-26,39961.09,42246.33,39818.24,41819.9,45304.456118
2024-01-27,41819.9,42200.0,41386.8,42120.2,15798.517064
2024-01-28,42120.62,42843.6,41595.5,42032.04,18475.040148
2024-01-29,42036.7,43350.6,41800.0,43301.4,24945.682751
2024-01-30,43297.0,43909.72,42685.24,42941.1,32373.558296
2024-01-31,42941.09,43745.59,42236.0,42580.0,46724.204356
2024-02-01,42580.01,43295.86,41878.46,43084.79,39302.042005
2024-02-02,43082.95,43483.25,42550.0,43198.75,27698.268908
2024-02-03,43198.74,43384.15,42873.46,43008.02,8963.215927
2024-02-04,43009.7,43123.0,42199.04,42582.88,12710.001135
2024-02-05,42582.88,43575.09,42255.3,42708.7,25969.89832
2024-02-06,42708.71,43392.33,42565.56,43098.95,22523.155049
